"filename", "language", "Log", "YAML", "Markdown", "JSON with Comments", "TypeScript", "JSON", "TypeScript JSX", "PostCSS", "MS SQL", "JavaScript", "Skill", "comment", "blank", "total"
"c:\Dev\Empreinte Fiscale\.amazonq\prompts\opsx-apply.md", "Markdown", 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 150
"c:\Dev\Empreinte Fiscale\.amazonq\prompts\opsx-archive.md", "Markdown", 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 155
"c:\Dev\Empreinte Fiscale\.amazonq\prompts\opsx-bulk-archive.md", "Markdown", 0, 0, 171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 240
"c:\Dev\Empreinte Fiscale\.amazonq\prompts\opsx-continue.md", "Markdown", 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 112
"c:\Dev\Empreinte Fiscale\.amazonq\prompts\opsx-explore.md", "Markdown", 0, 0, 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 172
"c:\Dev\Empreinte Fiscale\.amazonq\prompts\opsx-ff.md", "Markdown", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 92
"c:\Dev\Empreinte Fiscale\.amazonq\prompts\opsx-new.md", "Markdown", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 67
"c:\Dev\Empreinte Fiscale\.amazonq\prompts\opsx-onboard.md", "Markdown", 0, 0, 340, 0, 0, 0, 0, 0, 0, 0, 0, 1, 182, 523
"c:\Dev\Empreinte Fiscale\.amazonq\prompts\opsx-sync.md", "Markdown", 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 132
"c:\Dev\Empreinte Fiscale\.amazonq\prompts\opsx-verify.md", "Markdown", 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 162
"c:\Dev\Empreinte Fiscale\.amazonq\skills\openspec-apply-change\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 117, 0, 40, 157
"c:\Dev\Empreinte Fiscale\.amazonq\skills\openspec-archive-change\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 0, 34, 115
"c:\Dev\Empreinte Fiscale\.amazonq\skills\openspec-bulk-archive-change\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 178, 0, 69, 247
"c:\Dev\Empreinte Fiscale\.amazonq\skills\openspec-continue-change\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 0, 26, 119
"c:\Dev\Empreinte Fiscale\.amazonq\skills\openspec-explore\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 216, 0, 75, 291
"c:\Dev\Empreinte Fiscale\.amazonq\skills\openspec-ff-change\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 0, 22, 102
"c:\Dev\Empreinte Fiscale\.amazonq\skills\openspec-new-change\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 19, 75
"c:\Dev\Empreinte Fiscale\.amazonq\skills\openspec-onboard\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 347, 1, 182, 530
"c:\Dev\Empreinte Fiscale\.amazonq\skills\openspec-sync-specs\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 0, 44, 139
"c:\Dev\Empreinte Fiscale\.amazonq\skills\openspec-verify-change\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 131, 0, 38, 169
"c:\Dev\Empreinte Fiscale\.claude\agents\chef-de-projet.md", "Markdown", 0, 0, 146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 175
"c:\Dev\Empreinte Fiscale\.claude\agents\expert-fiscal.md", "Markdown", 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 125
"c:\Dev\Empreinte Fiscale\.claude\commands\opsx\apply.md", "Markdown", 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 153
"c:\Dev\Empreinte Fiscale\.claude\commands\opsx\archive.md", "Markdown", 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 158
"c:\Dev\Empreinte Fiscale\.claude\commands\opsx\bulk-archive.md", "Markdown", 0, 0, 174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 243
"c:\Dev\Empreinte Fiscale\.claude\commands\opsx\continue.md", "Markdown", 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 115
"c:\Dev\Empreinte Fiscale\.claude\commands\opsx\explore.md", "Markdown", 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 175
"c:\Dev\Empreinte Fiscale\.claude\commands\opsx\ff.md", "Markdown", 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 95
"c:\Dev\Empreinte Fiscale\.claude\commands\opsx\new.md", "Markdown", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 70
"c:\Dev\Empreinte Fiscale\.claude\commands\opsx\onboard.md", "Markdown", 0, 0, 343, 0, 0, 0, 0, 0, 0, 0, 0, 1, 182, 526
"c:\Dev\Empreinte Fiscale\.claude\commands\opsx\sync.md", "Markdown", 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 135
"c:\Dev\Empreinte Fiscale\.claude\commands\opsx\verify.md", "Markdown", 0, 0, 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 165
"c:\Dev\Empreinte Fiscale\.claude\settings.local.json", "JSON", 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 1, 93
"c:\Dev\Empreinte Fiscale\.claude\skills\calcul-fiscal\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 134, 0, 32, 166
"c:\Dev\Empreinte Fiscale\.claude\skills\conformite-rgpd\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 128, 0, 39, 167
"c:\Dev\Empreinte Fiscale\.claude\skills\openspec-apply-change\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 117, 0, 40, 157
"c:\Dev\Empreinte Fiscale\.claude\skills\openspec-archive-change\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 0, 34, 115
"c:\Dev\Empreinte Fiscale\.claude\skills\openspec-bulk-archive-change\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 178, 0, 69, 247
"c:\Dev\Empreinte Fiscale\.claude\skills\openspec-continue-change\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 0, 26, 119
"c:\Dev\Empreinte Fiscale\.claude\skills\openspec-explore\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 216, 0, 75, 291
"c:\Dev\Empreinte Fiscale\.claude\skills\openspec-ff-change\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 0, 22, 102
